timestamp,language,benchmark,run,total_energy_j,duration_ms,ambient_j,audio_j,camera_j,cpu_j,gps_j,modem_j,screen_j,video_j,wifi_j,status
2025-11-10T11:29:43.638933,Java,SpectralNorm,1,89.7392,39841,0.0000,0.0000,0.0000,3.9746,0.0000,0.0000,34.1417,0.8461,50.7768,success
2025-11-10T11:31:37.571922,Java,SpectralNorm,1,89.3015,39533,0.0000,0.0000,0.0000,4.4601,0.0000,0.0000,33.7681,0.8521,50.2212,success
2025-11-10T11:33:34.242432,Java,SpectralNorm,1,88.5116,39661,0.0000,0.0000,0.0000,4.0582,0.0000,0.0000,33.7852,0.4215,50.2467,success
2025-11-10T11:35:30.058320,Java,SpectralNorm,1,88.4192,39565,0.0000,0.0000,0.0000,5.5547,0.0000,0.0000,33.1463,0.4217,49.2965,success
2025-11-10T11:37:24.612917,Java,SpectralNorm,1,87.8756,39761,0.0000,0.0000,0.0000,4.8744,0.0000,0.0000,33.2894,0.2026,49.5092,success
2025-11-10T11:39:18.466759,Java,SpectralNorm,1,88.2506,39686,0.0000,0.0000,0.0000,3.7165,0.0000,0.0000,33.7661,0.5497,50.2183,success
2025-11-10T11:41:13.018531,Java,SpectralNorm,1,86.4053,39761,0.0000,0.0000,0.0000,4.1779,0.0000,0.0000,33.0597,0.0000,49.1677,success
2025-11-10T11:43:07.811566,Java,SpectralNorm,1,86.6440,39824,0.0000,0.0000,0.0000,2.6361,0.0000,0.0000,33.6029,0.4294,49.9756,success
2025-11-10T11:45:02.473714,Java,SpectralNorm,1,86.9387,39834,0.0000,0.0000,0.0000,4.1823,0.0000,0.0000,33.2385,0.0842,49.4337,success
2025-11-10T11:46:55.964644,Java,SpectralNorm,1,89.3220,39748,0.0000,0.0000,0.0000,4.8825,0.0000,0.0000,33.7804,0.4195,50.2396,success
