timestamp,language,benchmark,run,total_energy_j,duration_ms,ambient_j,audio_j,camera_j,cpu_j,gps_j,modem_j,screen_j,video_j,wifi_j,status
2025-11-10T19:18:18.550714,C,FannkuchRedux,1,116.7897,44788,0.0000,0.0000,0.0000,12.0413,0.0000,0.0000,41.7736,0.8475,62.1274,success
2025-11-10T19:19:57.927966,C,FannkuchRedux,1,122.3301,44930,0.0000,0.0000,0.0000,16.8891,0.0000,0.0000,42.3360,0.1411,62.9638,success
2025-11-10T19:21:37.764724,C,FannkuchRedux,1,123.6530,45044,0.0000,0.0000,0.0000,15.7334,0.0000,0.0000,43.0522,0.8386,64.0288,success
2025-11-10T19:23:16.863192,C,FannkuchRedux,1,122.9681,44891,0.0000,0.0000,0.0000,16.8676,0.0000,0.0000,42.4895,0.4190,63.1920,success
2025-11-10T19:24:57.626925,C,FannkuchRedux,1,119.0972,44811,0.0000,0.0000,0.0000,13.2490,0.0000,0.0000,42.5565,0.0000,63.2917,success
2025-11-10T19:26:37.204427,C,FannkuchRedux,1,120.5903,44869,0.0000,0.0000,0.0000,15.3787,0.0000,0.0000,42.1322,0.4188,62.6606,success
2025-11-10T19:28:17.273457,C,FannkuchRedux,1,121.6146,44279,0.0000,0.0000,0.0000,17.1144,0.0000,0.0000,41.8459,0.4195,62.2348,success
2025-11-10T19:29:56.494401,C,FannkuchRedux,1,118.0419,44261,0.0000,0.0000,0.0000,15.1461,0.0000,0.0000,40.9848,0.9568,60.9542,success
2025-11-10T19:31:39.148094,C,FannkuchRedux,1,126.6396,44181,0.0000,0.0000,0.0000,21.0169,0.0000,0.0000,41.9675,1.2395,62.4156,success
2025-11-10T19:33:15.668824,C,FannkuchRedux,1,119.2783,44231,0.0000,0.0000,0.0000,16.3211,0.0000,0.0000,41.0601,0.8309,61.0662,success
