timestamp,language,benchmark,run,total_energy_j,duration_ms,ambient_j,audio_j,camera_j,cpu_j,gps_j,modem_j,screen_j,video_j,wifi_j,status
2025-11-10T21:55:35.049582,C,Mandelbrot,1,0,35898,0,0,0,0,0,0,0,0,0,failed
2025-11-10T21:58:17.301955,C,Mandelbrot,1,0,36010,0,0,0,0,0,0,0,0,0,failed
2025-11-10T22:01:17.443745,C,Mandelbrot,1,0,35861,0,0,0,0,0,0,0,0,0,failed
2025-11-10T22:07:15.195207,C,Mandelbrot,1,0,35869,0,0,0,0,0,0,0,0,0,failed
2025-11-10T22:10:57.029042,C,Mandelbrot,1,0,35897,0,0,0,0,0,0,0,0,0,failed
2025-11-10T22:24:28.824248,C,Mandelbrot,1,0,35972,0,0,0,0,0,0,0,0,0,failed
