timestamp,language,benchmark,run,total_energy_j,duration_ms,ambient_j,audio_j,camera_j,cpu_j,gps_j,modem_j,screen_j,video_j,wifi_j,status
2025-11-10T19:59:21.392277,C,Fasta,1,107.0440,37982,0.0000,0.0000,0.0000,14.6886,0.0000,0.0000,36.9616,0.4230,54.9707,success
2025-11-10T20:00:51.972505,C,Fasta,1,102.8102,38261,0.0000,0.0000,0.0000,11.1720,0.0000,0.0000,36.8434,0.0000,54.7949,success
2025-11-10T20:02:23.448301,C,Fasta,1,104.0829,38218,0.0000,0.0000,0.0000,11.7109,0.0000,0.0000,36.7995,0.8430,54.7296,success
2025-11-10T20:03:56.642299,C,Fasta,1,109.1619,38140,0.0000,0.0000,0.0000,13.7342,0.0000,0.0000,38.2955,0.1776,56.9545,success
2025-11-10T20:05:28.655757,C,Fasta,1,105.8992,38218,0.0000,0.0000,0.0000,14.3945,0.0000,0.0000,36.4521,0.8395,54.2130,success
2025-11-10T20:06:59.964340,C,Fasta,1,103.3885,38196,0.0000,0.0000,0.0000,11.1634,0.0000,0.0000,36.9104,0.4201,54.8946,success
2025-11-10T20:08:31.513628,C,Fasta,1,102.8839,38259,0.0000,0.0000,0.0000,11.1160,0.0000,0.0000,36.7267,0.4198,54.6214,success
2025-11-10T20:10:03.308054,C,Fasta,1,102.6137,38207,0.0000,0.0000,0.0000,10.9970,0.0000,0.0000,36.6659,0.4198,54.5310,success
2025-11-10T20:11:34.524837,C,Fasta,1,107.2588,38063,0.0000,0.0000,0.0000,14.7481,0.0000,0.0000,36.8564,0.8400,54.8143,success
2025-11-10T20:13:06.207060,C,Fasta,1,102.8043,38204,0.0000,0.0000,0.0000,11.6902,0.0000,0.0000,36.4637,0.4200,54.2303,success
