timestamp,language,benchmark,run,total_energy_j,duration_ms,ambient_j,audio_j,camera_j,cpu_j,gps_j,modem_j,screen_j,video_j,wifi_j,status
2025-11-10T12:16:59.894783,Kotlin,FannkuchRedux,1,130.9570,47821,0.0000,0.0000,0.0000,17.7312,0.0000,0.0000,45.3518,0.4250,67.4489,success
2025-11-10T12:18:40.068910,Kotlin,FannkuchRedux,1,131.4245,47895,0.0000,0.0000,0.0000,17.6913,0.0000,0.0000,45.3871,0.8446,67.5015,success
2025-11-10T12:20:20.005042,Kotlin,FannkuchRedux,1,129.6658,47893,0.0000,0.0000,0.0000,17.5659,0.0000,0.0000,44.7315,0.8421,66.5264,success
2025-11-10T12:21:59.863458,Kotlin,FannkuchRedux,1,130.3255,47979,0.0000,0.0000,0.0000,18.3226,0.0000,0.0000,44.8624,0.4195,66.7211,success
2025-11-10T12:23:39.812500,Kotlin,FannkuchRedux,1,129.4393,48006,0.0000,0.0000,0.0000,17.5874,0.0000,0.0000,44.8017,0.4195,66.6308,success
2025-11-10T12:25:19.673757,Kotlin,FannkuchRedux,1,129.7237,47949,0.0000,0.0000,0.0000,17.8356,0.0000,0.0000,44.6476,0.8387,66.4017,success
2025-11-10T12:26:59.983087,Kotlin,FannkuchRedux,1,129.6389,47970,0.0000,0.0000,0.0000,17.5898,0.0000,0.0000,44.7966,0.6292,66.6233,success
2025-11-10T12:28:39.854390,Kotlin,FannkuchRedux,1,130.0423,47846,0.0000,0.0000,0.0000,18.2040,0.0000,0.0000,44.6274,0.8392,66.3716,success
2025-11-10T12:38:46.339703,Kotlin,FannkuchRedux,1,126.5316,47894,0.0000,0.0000,0.0000,13.9061,0.0000,0.0000,45.1727,0.2703,67.1825,success
2025-11-10T12:40:26.310114,Kotlin,FannkuchRedux,1,126.4975,47917,0.0000,0.0000,0.0000,13.8631,0.0000,0.0000,44.9678,0.7888,66.8778,success
