timestamp,language,benchmark,run,total_energy_j,duration_ms,ambient_j,audio_j,camera_j,cpu_j,gps_j,modem_j,screen_j,video_j,wifi_j,status
2025-11-10T18:04:23.111530,Kotlin,RevComp,1,117.4375,41596,0.0000,0.0000,0.0000,15.7955,0.0000,0.0000,40.6945,0.4252,60.5224,success
2025-11-10T18:05:58.074958,Kotlin,RevComp,1,113.0408,41979,0.0000,0.0000,0.0000,13.0214,0.0000,0.0000,40.0895,0.3072,59.6227,success
2025-11-10T18:07:33.653873,Kotlin,RevComp,1,110.6946,41738,0.0000,0.0000,0.0000,11.7278,0.0000,0.0000,39.6203,0.4216,58.9248,success
2025-11-10T18:09:09.127648,Kotlin,RevComp,1,114.0252,41790,0.0000,0.0000,0.0000,12.8277,0.0000,0.0000,40.5172,0.4216,60.2587,success
2025-11-10T18:10:43.987548,Kotlin,RevComp,1,114.4350,41872,0.0000,0.0000,0.0000,16.0340,0.0000,0.0000,39.5623,0.0000,58.8386,success
2025-11-10T18:12:18.737597,Kotlin,RevComp,1,114.5211,41704,0.0000,0.0000,0.0000,15.7498,0.0000,0.0000,39.5417,0.4215,58.8080,success
2025-11-10T18:13:55.593568,Kotlin,RevComp,1,115.1189,41821,0.0000,0.0000,0.0000,11.7424,0.0000,0.0000,41.5627,0.0000,61.8137,success
2025-11-10T18:15:30.764687,Kotlin,RevComp,1,111.5373,41586,0.0000,0.0000,0.0000,12.7697,0.0000,0.0000,39.5404,0.4211,58.8061,success
2025-11-10T18:17:05.235912,Kotlin,RevComp,1,111.7146,41780,0.0000,0.0000,0.0000,11.7841,0.0000,0.0000,40.0078,0.4214,59.5012,success
2025-11-10T18:18:39.093749,Kotlin,RevComp,1,115.2672,41655,0.0000,0.0000,0.0000,15.5150,0.0000,0.0000,39.9644,0.3512,59.4366,success
