timestamp,language,benchmark,run,total_energy_j,duration_ms,ambient_j,audio_j,camera_j,cpu_j,gps_j,modem_j,screen_j,video_j,wifi_j,status
2025-11-10T18:26:28.139577,Kotlin,SpectralNorm,1,88.2416,39422,0.0000,0.0000,0.0000,4.6374,0.0000,0.0000,33.2731,0.8461,49.4850,success
2025-11-10T18:28:27.853008,Kotlin,SpectralNorm,1,86.3573,39108,0.0000,0.0000,0.0000,4.4288,0.0000,0.0000,32.9163,0.0577,48.9544,success
2025-11-10T18:30:30.326786,Kotlin,SpectralNorm,1,84.8661,39032,0.0000,0.0000,0.0000,3.8526,0.0000,0.0000,32.4587,0.2810,48.2739,success
2025-11-10T18:32:30.429053,Kotlin,SpectralNorm,1,85.8459,38933,0.0000,0.0000,0.0000,3.9515,0.0000,0.0000,32.8163,0.2724,48.8057,success
2025-11-10T18:34:35.714597,Kotlin,SpectralNorm,1,86.7287,39294,0.0000,0.0000,0.0000,4.4328,0.0000,0.0000,32.9170,0.4235,48.9554,success
2025-11-10T18:36:33.742253,Kotlin,SpectralNorm,1,87.6125,39365,0.0000,0.0000,0.0000,4.6448,0.0000,0.0000,33.1873,0.4230,49.3574,success
2025-11-10T18:38:34.158590,Kotlin,SpectralNorm,1,87.1520,39171,0.0000,0.0000,0.0000,5.3145,0.0000,0.0000,32.7328,0.4231,48.6816,success
2025-11-10T18:40:37.004083,Kotlin,SpectralNorm,1,88.8496,39461,0.0000,0.0000,0.0000,5.6054,0.0000,0.0000,32.9943,1.1796,49.0703,success
2025-11-10T18:42:37.193105,Kotlin,SpectralNorm,1,86.8004,39521,0.0000,0.0000,0.0000,4.2830,0.0000,0.0000,33.0061,0.4233,49.0880,success
2025-11-10T18:44:48.866336,Kotlin,SpectralNorm,1,86.3860,39299,0.0000,0.0000,0.0000,4.8043,0.0000,0.0000,32.6309,0.4208,48.5300,success
