timestamp,language,benchmark,run,total_energy_j,duration_ms,ambient_j,audio_j,camera_j,cpu_j,gps_j,modem_j,screen_j,video_j,wifi_j,status
2025-11-10T10:33:59.317862,Java,Mandelbrot,1,114.7193,39487,0.0000,0.0000,0.0000,21.3377,0.0000,0.0000,37.3747,0.4217,55.5851,success
2025-11-10T10:35:31.177347,Java,Mandelbrot,1,116.1238,39942,0.0000,0.0000,0.0000,20.6684,0.0000,0.0000,37.8735,1.2550,56.3269,success
2025-11-10T10:37:03.049509,Java,Mandelbrot,1,114.6246,39952,0.0000,0.0000,0.0000,20.7794,0.0000,0.0000,37.3962,0.8318,55.6171,success
2025-11-10T10:38:35.348823,Java,Mandelbrot,1,114.7377,40124,0.0000,0.0000,0.0000,20.7582,0.0000,0.0000,37.6175,0.4158,55.9462,success
2025-11-10T10:40:06.909316,Java,Mandelbrot,1,111.1133,39913,0.0000,0.0000,0.0000,17.9006,0.0000,0.0000,37.3091,0.4159,55.4876,success
2025-11-10T10:41:38.547787,Java,Mandelbrot,1,110.2641,39748,0.0000,0.0000,0.0000,17.4661,0.0000,0.0000,37.1902,0.2971,55.3107,success
2025-11-10T10:43:10.133341,Java,Mandelbrot,1,112.9407,39637,0.0000,0.0000,0.0000,19.3886,0.0000,0.0000,37.4462,0.4144,55.6915,success
2025-11-10T10:44:42.279963,Java,Mandelbrot,1,112.2407,39821,0.0000,0.0000,0.0000,19.3939,0.0000,0.0000,37.3292,0.0000,55.5175,success
2025-11-10T10:46:13.987067,Java,Mandelbrot,1,111.7821,39863,0.0000,0.0000,0.0000,18.2528,0.0000,0.0000,37.4362,0.4165,55.6766,success
2025-11-10T10:47:45.886453,Java,Mandelbrot,1,109.3013,39886,0.0000,0.0000,0.0000,16.7420,0.0000,0.0000,37.0474,0.4135,55.0983,success
