timestamp,language,benchmark,run,total_energy_j,duration_ms,ambient_j,audio_j,camera_j,cpu_j,gps_j,modem_j,screen_j,video_j,wifi_j,status
2025-11-10T10:53:39.252017,Java,NBody,1,127.5583,47496,0.0000,0.0000,0.0000,14.6613,0.0000,0.0000,45.0486,0.8503,66.9980,success
2025-11-10T10:55:18.656102,Java,NBody,1,126.1018,46802,0.0000,0.0000,0.0000,15.5173,0.0000,0.0000,44.2908,0.4228,65.8710,success
2025-11-10T10:56:58.959174,Java,NBody,1,129.0525,47414,0.0000,0.0000,0.0000,15.6759,0.0000,0.0000,45.2745,0.7680,67.3341,success
2025-11-10T10:58:37.946130,Java,NBody,1,126.8023,46826,0.0000,0.0000,0.0000,17.2830,0.0000,0.0000,43.8626,0.4226,65.2341,success
2025-11-10T11:00:17.516972,Java,NBody,1,127.5736,46882,0.0000,0.0000,0.0000,17.1894,0.0000,0.0000,44.1802,0.4975,65.7066,success
2025-11-10T11:01:56.502087,Java,NBody,1,122.2427,46800,0.0000,0.0000,0.0000,12.7132,0.0000,0.0000,43.9852,0.1278,65.4165,success
2025-11-10T11:03:35.968704,Java,NBody,1,128.8162,46917,0.0000,0.0000,0.0000,17.5428,0.0000,0.0000,44.5690,0.4195,66.2848,success
2025-11-10T11:05:15.399786,Java,NBody,1,126.5513,46935,0.0000,0.0000,0.0000,16.4443,0.0000,0.0000,44.1001,0.4195,65.5874,success
2025-11-10T11:06:55.124151,Java,NBody,1,128.4545,47401,0.0000,0.0000,0.0000,17.3525,0.0000,0.0000,44.6688,0.0000,66.4332,success
2025-11-10T11:08:34.476789,Java,NBody,1,126.9036,47415,0.0000,0.0000,0.0000,16.4795,0.0000,0.0000,44.0589,0.8389,65.5262,success
