timestamp,language,benchmark,run,total_energy_j,duration_ms,ambient_j,audio_j,camera_j,cpu_j,gps_j,modem_j,screen_j,video_j,wifi_j,status
2025-11-10T11:12:02.535702,Java,RevComp,1,111.5132,40680,0.0000,0.0000,0.0000,14.9863,0.0000,0.0000,38.4698,0.8433,57.2138,success
2025-11-10T11:13:35.526389,Java,RevComp,1,109.9377,40695,0.0000,0.0000,0.0000,11.8108,0.0000,0.0000,39.1131,0.8433,58.1705,success
2025-11-10T11:15:08.950877,Java,RevComp,1,108.7790,40634,0.0000,0.0000,0.0000,12.2596,0.0000,0.0000,38.6363,0.4216,57.4615,success
2025-11-10T11:16:41.608885,Java,RevComp,1,108.0099,40733,0.0000,0.0000,0.0000,12.4614,0.0000,0.0000,38.2469,0.4194,56.8822,success
2025-11-10T11:18:15.075630,Java,RevComp,1,110.3141,40707,0.0000,0.0000,0.0000,14.9227,0.0000,0.0000,38.1838,0.4191,56.7885,success
2025-11-10T11:19:47.628523,Java,RevComp,1,110.0915,40816,0.0000,0.0000,0.0000,15.1694,0.0000,0.0000,38.1636,0.0000,56.7585,success
2025-11-10T11:21:20.074222,Java,RevComp,1,111.3209,40689,0.0000,0.0000,0.0000,14.6833,0.0000,0.0000,38.5164,0.8381,57.2831,success
2025-11-10T11:22:52.505812,Java,RevComp,1,106.2753,40724,0.0000,0.0000,0.0000,11.7647,0.0000,0.0000,37.9982,0.0000,56.5124,success
2025-11-10T11:24:24.939649,Java,RevComp,1,108.3471,40601,0.0000,0.0000,0.0000,12.4202,0.0000,0.0000,38.3992,0.4190,57.1087,success
2025-11-10T11:25:57.385410,Java,RevComp,1,109.4963,40243,0.0000,0.0000,0.0000,15.0477,0.0000,0.0000,37.8795,0.2332,56.3359,success
