timestamp,language,benchmark,run,total_energy_j,duration_ms,ambient_j,audio_j,camera_j,cpu_j,gps_j,modem_j,screen_j,video_j,wifi_j,status
2025-11-10T13:35:26.872711,Kotlin,NBody,1,129.1372,47001,0.0000,0.0000,0.0000,17.0951,0.0000,0.0000,44.8764,0.4239,66.7419,success
2025-11-10T13:37:06.626415,Kotlin,NBody,1,127.9021,47023,0.0000,0.0000,0.0000,16.6179,0.0000,0.0000,44.5717,0.4237,66.2887,success
2025-11-10T13:38:45.647551,Kotlin,NBody,1,128.8661,46950,0.0000,0.0000,0.0000,17.3954,0.0000,0.0000,44.7172,0.2482,66.5052,success
2025-11-10T13:40:25.291422,Kotlin,NBody,1,130.7724,47311,0.0000,0.0000,0.0000,18.0053,0.0000,0.0000,45.1679,0.4237,67.1755,success
2025-11-10T13:42:04.634250,Kotlin,NBody,1,129.8135,46932,0.0000,0.0000,0.0000,18.2799,0.0000,0.0000,44.6720,0.4236,66.4380,success
2025-11-10T13:43:43.982143,Kotlin,NBody,1,126.9655,46956,0.0000,0.0000,0.0000,17.5893,0.0000,0.0000,43.6377,0.8389,64.8997,success
2025-11-10T13:45:23.817196,Kotlin,NBody,1,128.8566,47368,0.0000,0.0000,0.0000,18.0890,0.0000,0.0000,44.3657,0.4194,65.9824,success
2025-11-10T13:47:03.583276,Kotlin,NBody,1,127.5282,47016,0.0000,0.0000,0.0000,17.2685,0.0000,0.0000,44.1615,0.4194,65.6787,success
2025-11-10T13:48:42.980609,Kotlin,NBody,1,126.9057,47011,0.0000,0.0000,0.0000,17.8855,0.0000,0.0000,43.6632,0.4195,64.9375,success
2025-11-10T13:50:23.041712,Kotlin,NBody,1,128.7172,47296,0.0000,0.0000,0.0000,17.6689,0.0000,0.0000,44.2280,1.0427,65.7776,success
